latent_dim1,latent_dim2,door_open/min (ratio),door_move/min (ratio),door_error/min (ratio),door_close/min (ratio),x,y,z,pressure,pressure_base,temparature(°C),size
1.3955342,1.2703402,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.14450945,-0.21629126,-0.21928993,-0.069996074,-0.25726855,1.6285915,1.0
0.14423741,1.8928189,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.01342376,-0.111405805,0.17772032,0.98681134,0.7573677,-0.14204642,1.0
2.1504738,2.9127266,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.18761389,0.2039546,-0.116354585,-0.7963817,-0.5035047,-0.7228884,1.0
0.725467,-4.3092885,2.2733052,-0.41563052,-0.09949921,-1.9830053,0.042889502,0.21159594,-0.053369965,-0.029279295,0.3101132,0.92003113,1.0
0.6935633,-4.1448784,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.029515281,0.2154456,-0.09616374,0.50327593,0.280767,1.1145235,1.0
0.7635812,-4.01483,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.06383234,0.22573553,0.0011137238,0.4218634,0.17504288,1.072697,1.0
2.3903837,2.2868478,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.16070177,0.22865742,0.03901151,-0.61600447,-1.0082422,0.3340725,1.0
3.6326795,3.8029864,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.0060801283,-0.1053815,0.16305146,-1.8355318,-1.5640498,-1.4137031,1.0
-3.5633008,-1.5919986,0.07661875,5.19629,-0.09949921,-1.9830053,0.016321896,-0.12162807,0.21353288,0.122047536,0.1441203,-0.21546316,1.0
0.88452786,2.331181,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.013183224,-0.08307704,0.053382624,0.16850291,0.38577852,-0.5207003,1.0
0.4095427,2.1241703,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.0010119567,-0.10715559,0.0909922,0.7824707,0.5257075,-0.40372092,1.0
-0.069849476,2.1787267,0.004968454,1.1101329,-0.09949921,-0.39905137,0.065165505,-0.12103838,-0.12280619,1.1170125,1.107039,-0.24372903,1.0
0.3390749,2.1632068,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.13977961,0.22441067,0.0031189432,0.7154362,0.7031452,-0.44931838,1.0
-0.28922915,2.4272053,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.01461097,-0.11083645,0.19669059,1.2068332,1.2001522,-1.1397959,1.0
2.3420973,2.0364194,-0.22343792,0.3027227,-0.09949921,0.11700748,0.05785657,-0.099084005,-0.0049769427,-0.6829969,-0.8424221,0.53165257,1.0
